Id,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date,SleepEfficiency
2320127002,1,61,69,2016-04-23,88.4
2347167796,1,467,531,2016-04-13,87.9
2347167796,1,445,489,2016-04-14,91.0
2347167796,1,452,504,2016-04-15,89.7
2347167796,1,556,602,2016-04-17,92.4
2347167796,1,500,557,2016-04-18,89.8
2347167796,1,465,514,2016-04-19,90.5
2347167796,1,460,484,2016-04-21,95.0
2347167796,1,405,461,2016-04-22,87.9
2347167796,1,374,386,2016-04-23,96.9
2347167796,1,442,459,2016-04-24,96.3
2347167796,1,433,471,2016-04-25,91.9
2347167796,1,436,490,2016-04-26,89.0
2347167796,1,448,499,2016-04-27,89.8
2347167796,1,408,450,2016-04-28,90.7
2347167796,1,411,473,2016-04-29,86.9
3977333714,1,274,469,2016-04-12,58.4
3977333714,2,295,456,2016-04-13,64.7
3977333714,1,291,397,2016-04-14,73.3
3977333714,1,424,556,2016-04-15,76.3
3977333714,1,283,510,2016-04-16,55.5
3977333714,1,381,566,2016-04-17,67.3
3977333714,2,412,522,2016-04-18,78.9
3977333714,1,219,395,2016-04-19,55.4
3977333714,2,152,305,2016-04-20,49.8
3977333714,1,332,512,2016-04-21,64.8
3977333714,1,355,476,2016-04-22,74.6
3977333714,1,235,372,2016-04-23,63.2
3977333714,1,310,526,2016-04-24,58.9
3977333714,1,262,467,2016-04-25,56.1
3977333714,1,250,371,2016-04-26,67.4
3977333714,1,349,540,2016-04-27,64.6
3977333714,1,261,423,2016-04-28,61.7
3977333714,1,333,478,2016-04-29,69.7
3977333714,1,237,382,2016-04-30,62.0
3977333714,1,383,626,2016-05-01,61.2
3977333714,1,230,384,2016-05-02,59.9
3977333714,1,292,500,2016-05-03,58.4
3977333714,1,213,336,2016-05-04,63.4
3977333714,1,318,480,2016-05-05,66.2
3977333714,1,323,512,2016-05-06,63.1
3977333714,1,237,443,2016-05-07,53.5
3977333714,2,259,456,2016-05-08,56.8
3977333714,1,312,452,2016-05-10,69.0
4020332650,1,501,541,2016-04-12,92.6
4020332650,1,77,77,2016-04-16,100.0
4020332650,1,322,332,2016-05-03,97.0
4020332650,1,478,536,2016-05-04,89.2
4020332650,1,226,248,2016-05-05,91.1
4020332650,1,385,408,2016-05-06,94.4
4020332650,1,364,402,2016-05-08,90.5
4020332650,1,442,494,2016-05-10,89.5
4319703577,1,535,557,2016-04-14,96.1
4319703577,1,465,491,2016-04-15,94.7
4319703577,1,506,522,2016-04-16,96.9
4319703577,1,515,551,2016-04-18,93.5
4319703577,2,461,498,2016-04-19,92.6
4319703577,1,523,543,2016-04-20,96.3
4319703577,1,59,65,2016-04-21,90.8
4319703577,1,533,550,2016-04-22,96.9
4319703577,1,692,722,2016-04-23,95.8
4319703577,1,467,501,2016-04-24,93.2
4319703577,1,488,506,2016-04-25,96.4
4319703577,1,505,516,2016-04-26,97.9
4319703577,1,286,307,2016-04-27,93.2
4319703577,1,497,522,2016-04-28,95.2
4319703577,1,523,546,2016-04-29,95.8
4319703577,1,490,516,2016-04-30,95.0
4319703577,1,484,500,2016-05-01,96.8
4319703577,1,478,506,2016-05-02,94.5
4319703577,1,474,512,2016-05-03,92.6
4319703577,1,450,491,2016-05-06,91.6
4319703577,1,507,530,2016-05-07,95.7
4319703577,1,602,638,2016-05-08,94.4
4319703577,1,535,565,2016-05-09,94.7
4319703577,1,487,517,2016-05-10,94.2
4319703577,1,529,558,2016-05-11,94.8
4319703577,1,302,321,2016-05-12,94.1
4388161847,1,499,526,2016-04-15,94.9
4388161847,2,426,448,2016-04-16,95.1
4388161847,2,619,641,2016-04-17,96.6
4388161847,1,99,104,2016-04-18,95.2
4388161847,1,329,338,2016-04-19,97.3
4388161847,1,421,451,2016-04-20,93.3
4388161847,1,442,458,2016-04-21,96.5
4388161847,1,82,85,2016-04-22,96.5
4388161847,1,478,501,2016-04-23,95.4
4388161847,3,552,595,2016-04-24,92.8
4388161847,1,319,346,2016-04-26,92.2
4388161847,1,439,500,2016-04-27,87.8
4388161847,1,428,458,2016-04-28,93.4
4388161847,2,409,430,2016-04-30,95.1
4388161847,1,547,597,2016-05-01,91.6
4388161847,2,368,376,2016-05-02,97.9
4388161847,1,390,414,2016-05-04,94.2
4388161847,1,471,495,2016-05-05,95.2
4388161847,1,472,496,2016-05-07,95.2
4388161847,2,529,541,2016-05-08,97.8
4388161847,1,62,65,2016-05-09,95.4
4388161847,1,354,375,2016-05-10,94.4
4388161847,1,469,494,2016-05-11,94.9
4445114986,2,429,457,2016-04-12,93.9
4445114986,2,370,406,2016-04-13,91.1
4445114986,1,441,492,2016-04-14,89.6
4445114986,2,337,379,2016-04-15,88.9
4445114986,1,462,499,2016-04-16,92.6
4445114986,1,98,107,2016-04-17,91.6
4445114986,2,388,424,2016-04-19,91.5
4445114986,1,439,462,2016-04-20,95.0
4445114986,1,436,469,2016-04-21,93.0
4445114986,1,388,417,2016-04-22,93.0
4445114986,1,328,345,2016-04-25,95.1
4445114986,2,353,391,2016-04-26,90.3
4445114986,1,332,374,2016-04-27,88.8
4445114986,1,419,442,2016-04-28,94.8
4445114986,1,106,108,2016-04-29,98.1
4445114986,1,322,353,2016-04-30,91.2
4445114986,2,439,459,2016-05-01,95.6
4445114986,1,502,542,2016-05-02,92.6
4445114986,2,417,450,2016-05-03,92.7
4445114986,2,337,363,2016-05-04,92.8
4445114986,2,462,513,2016-05-05,90.1
4445114986,2,374,402,2016-05-06,93.0
4445114986,2,401,436,2016-05-07,92.0
4445114986,1,361,391,2016-05-08,92.3
4445114986,1,457,533,2016-05-09,85.7
4445114986,1,405,426,2016-05-10,95.1
4445114986,1,499,530,2016-05-11,94.2
4445114986,1,483,501,2016-05-12,96.4
4558609924,1,126,137,2016-04-21,92.0
4558609924,1,103,121,2016-04-26,85.1
4558609924,1,171,179,2016-04-29,95.5
4558609924,1,115,129,2016-05-01,89.1
4558609924,1,123,134,2016-05-08,91.8
4702921684,1,425,439,2016-04-12,96.8
4702921684,2,400,430,2016-04-13,93.0
4702921684,1,384,415,2016-04-14,92.5
4702921684,1,253,257,2016-04-15,98.4
4702921684,2,382,406,2016-04-16,94.1
4702921684,1,591,612,2016-04-17,96.6
4702921684,1,293,312,2016-04-18,93.9
4702921684,1,457,487,2016-04-19,93.8
4702921684,1,454,468,2016-04-20,97.0
4702921684,1,425,434,2016-04-21,97.9
4702921684,1,465,475,2016-04-23,97.9
4702921684,1,480,506,2016-04-24,94.9
4702921684,1,370,380,2016-04-25,97.4
4702921684,1,421,429,2016-04-26,98.1
4702921684,1,432,449,2016-04-27,96.2
4702921684,1,442,461,2016-04-28,95.9
4702921684,1,433,447,2016-04-29,96.9
4702921684,1,479,501,2016-04-30,95.6
4702921684,1,327,373,2016-05-03,87.7
4702921684,1,412,434,2016-05-04,94.9
4702921684,1,414,428,2016-05-05,96.7
4702921684,1,404,449,2016-05-06,90.0
4702921684,1,520,543,2016-05-07,95.8
4702921684,1,435,458,2016-05-09,95.0
4702921684,1,416,431,2016-05-10,96.5
4702921684,1,354,366,2016-05-11,96.7
4702921684,1,404,442,2016-05-12,91.4
5553957443,1,441,464,2016-04-12,95.0
5553957443,2,455,488,2016-04-13,93.2
5553957443,1,357,418,2016-04-14,85.4
5553957443,1,377,409,2016-04-15,92.2
5553957443,2,651,686,2016-04-16,94.9
5553957443,1,350,402,2016-04-17,87.1
5553957443,2,520,541,2016-04-18,96.1
5553957443,1,357,410,2016-04-19,87.1
5553957443,1,658,678,2016-04-20,97.1
5553957443,1,399,431,2016-04-21,92.6
5553957443,1,322,353,2016-04-22,91.2
5553957443,2,631,725,2016-04-23,87.0
5553957443,2,553,640,2016-04-24,86.4
5553957443,1,433,468,2016-04-25,92.5
5553957443,1,412,453,2016-04-26,90.9
5553957443,1,347,391,2016-04-27,88.7
5553957443,1,421,457,2016-04-28,92.1
5553957443,1,450,495,2016-04-29,90.9
5553957443,2,775,843,2016-04-30,91.9
5553957443,2,622,686,2016-05-01,90.7
5553957443,1,409,471,2016-05-02,86.8
5553957443,1,380,429,2016-05-03,88.6
5553957443,1,447,470,2016-05-04,95.1
5553957443,1,419,464,2016-05-05,90.3
5553957443,1,400,434,2016-05-06,92.2
5553957443,1,442,470,2016-05-07,94.0
5553957443,1,568,608,2016-05-08,93.4
5553957443,1,453,494,2016-05-09,91.7
5553957443,1,418,443,2016-05-10,94.4
5553957443,1,463,486,2016-05-11,95.3
5553957443,1,438,475,2016-05-12,92.2
5577150313,1,419,438,2016-04-12,95.7
5577150313,1,432,458,2016-04-13,94.3
5577150313,1,477,497,2016-04-14,96.0
5577150313,1,392,413,2016-04-15,94.9
5577150313,1,406,445,2016-04-16,91.2
5577150313,1,549,583,2016-04-17,94.2
5577150313,1,527,553,2016-04-18,95.3
5577150313,1,449,465,2016-04-19,96.6
5577150313,1,447,480,2016-04-20,93.1
5577150313,1,414,437,2016-04-21,94.7
5577150313,1,338,366,2016-04-22,92.3
5577150313,1,384,402,2016-04-23,95.5
5577150313,1,543,615,2016-04-24,88.3
5577150313,1,421,461,2016-04-25,91.3
5577150313,1,354,377,2016-04-26,93.9
5577150313,1,424,452,2016-04-27,93.8
5577150313,1,361,372,2016-04-28,97.0
5577150313,1,459,485,2016-04-29,94.6
5577150313,1,412,433,2016-04-30,95.2
5577150313,1,379,398,2016-05-01,95.2
5577150313,2,525,553,2016-05-02,94.9
5577150313,1,508,543,2016-05-03,93.6
5577150313,1,603,634,2016-05-04,95.1
5577150313,1,74,78,2016-05-05,94.9
5577150313,1,504,562,2016-05-10,89.7
5577150313,1,431,476,2016-05-11,90.5
6117666160,1,380,398,2016-04-16,95.5
6117666160,2,336,350,2016-04-17,96.0
6117666160,2,493,510,2016-04-18,96.7
6117666160,1,465,492,2016-04-19,94.5
6117666160,1,474,502,2016-04-20,94.4
6117666160,1,508,550,2016-04-21,92.4
6117666160,1,480,546,2016-04-22,87.9
6117666160,1,492,539,2016-04-23,91.3
6117666160,1,353,367,2016-04-24,96.2
6117666160,1,542,557,2016-04-27,97.3
6117666160,1,393,416,2016-04-28,94.5
6117666160,1,600,636,2016-04-29,94.3
6117666160,1,507,575,2016-05-01,88.2
6117666160,1,392,415,2016-05-05,94.5
6117666160,2,658,698,2016-05-06,94.3
6117666160,2,498,507,2016-05-07,98.2
6117666160,1,555,603,2016-05-08,92.0
6117666160,1,492,522,2016-05-09,94.3
6775888955,1,235,260,2016-04-13,90.4
6775888955,1,423,441,2016-04-14,95.9
6775888955,1,391,406,2016-04-15,96.3
6962181067,1,366,387,2016-04-12,94.6
6962181067,3,630,679,2016-04-13,92.8
6962181067,2,508,535,2016-04-14,95.0
6962181067,1,370,386,2016-04-15,95.9
6962181067,1,357,366,2016-04-16,97.5
6962181067,1,427,446,2016-04-17,95.7
6962181067,1,442,458,2016-04-18,96.5
6962181067,1,476,535,2016-04-19,89.0
6962181067,1,418,424,2016-04-20,98.6
6962181067,1,451,457,2016-04-21,98.7
6962181067,1,425,435,2016-04-22,97.7
6962181067,1,528,546,2016-04-23,96.7
6962181067,1,511,514,2016-04-24,99.4
6962181067,1,400,415,2016-04-25,96.4
6962181067,1,441,446,2016-04-26,98.9
6962181067,1,455,467,2016-04-27,97.4
6962181067,1,440,453,2016-04-28,97.1
6962181067,1,433,447,2016-04-29,96.9
6962181067,1,422,424,2016-04-30,99.5
6962181067,1,411,426,2016-05-01,96.5
6962181067,1,466,482,2016-05-02,96.7
6962181067,1,394,418,2016-05-03,94.3
6962181067,1,442,455,2016-05-04,97.1
6962181067,1,467,491,2016-05-05,95.1
6962181067,1,443,462,2016-05-06,95.9
6962181067,1,298,334,2016-05-07,89.2
6962181067,1,541,569,2016-05-08,95.1
6962181067,1,489,497,2016-05-09,98.4
6962181067,1,469,481,2016-05-10,97.5
6962181067,1,452,480,2016-05-11,94.2
6962181067,1,516,535,2016-05-12,96.4
7007744171,1,79,82,2016-04-16,96.3
7007744171,1,58,61,2016-05-01,95.1
7086361926,1,514,525,2016-04-12,97.9
7086361926,1,451,465,2016-04-13,97.0
7086361926,1,472,476,2016-04-14,99.2
7086361926,1,377,386,2016-04-15,97.7
7086361926,1,472,483,2016-04-19,97.7
7086361926,1,492,502,2016-04-20,98.0
7086361926,1,390,411,2016-04-21,94.9
7086361926,1,428,448,2016-04-22,95.5
7086361926,1,681,704,2016-04-24,96.7
7086361926,1,446,447,2016-04-25,99.8
7086361926,1,485,500,2016-04-26,97.0
7086361926,1,469,479,2016-04-27,97.9
7086361926,1,354,367,2016-04-28,96.5
7086361926,1,485,489,2016-04-30,99.2
7086361926,1,388,407,2016-05-01,95.3
7086361926,1,440,459,2016-05-02,95.9
7086361926,1,456,461,2016-05-03,98.9
7086361926,1,420,436,2016-05-04,96.3
7086361926,1,322,333,2016-05-06,96.7
7086361926,1,530,548,2016-05-07,96.7
7086361926,1,481,510,2016-05-08,94.3
7086361926,1,427,438,2016-05-09,97.5
7086361926,1,451,463,2016-05-11,97.4
7086361926,1,444,457,2016-05-12,97.2
8053475328,1,486,493,2016-04-20,98.6
8053475328,1,331,337,2016-04-23,98.2
8053475328,1,74,75,2016-05-07,98.7
8378563200,1,338,356,2016-04-12,94.9
8378563200,2,447,487,2016-04-13,91.8
8378563200,1,424,455,2016-04-14,93.2
8378563200,1,513,533,2016-04-15,96.2
8378563200,2,611,689,2016-04-16,88.7
8378563200,2,525,591,2016-04-17,88.8
8378563200,1,398,451,2016-04-18,88.2
8378563200,1,387,421,2016-04-19,91.9
8378563200,1,381,409,2016-04-20,93.2
8378563200,1,396,417,2016-04-21,95.0
8378563200,1,441,469,2016-04-22,94.0
8378563200,1,565,591,2016-04-23,95.6
8378563200,1,458,492,2016-04-24,93.1
8378563200,1,388,402,2016-04-25,96.5
8378563200,1,550,584,2016-04-26,94.2
8378563200,1,531,600,2016-04-27,88.5
8378563200,1,506,556,2016-04-28,91.0
8378563200,1,527,562,2016-04-29,93.8
8378563200,1,468,555,2016-04-30,84.3
8378563200,1,475,539,2016-05-01,88.1
8378563200,1,351,385,2016-05-02,91.2
8378563200,1,405,429,2016-05-03,94.4
8378563200,1,441,477,2016-05-04,92.5
8378563200,1,381,417,2016-05-05,91.4
8378563200,1,323,355,2016-05-06,91.0
8378563200,2,459,513,2016-05-07,89.5
8378563200,1,545,606,2016-05-08,89.9
8378563200,1,359,399,2016-05-09,90.0
8378563200,1,342,391,2016-05-10,87.5
8378563200,1,368,387,2016-05-11,95.1
8378563200,1,496,546,2016-05-12,90.8
8792009665,1,458,493,2016-04-12,92.9
8792009665,1,531,552,2016-04-13,96.2
8792009665,1,486,503,2016-04-14,96.6
8792009665,1,363,377,2016-04-15,96.3
8792009665,1,528,547,2016-04-20,96.5
8792009665,1,391,407,2016-04-22,96.1
8792009665,1,339,360,2016-04-23,94.2
8792009665,1,423,428,2016-04-27,98.8
8792009665,1,402,416,2016-04-28,96.6
8792009665,1,398,406,2016-04-29,98.0
8792009665,1,343,360,2016-04-30,95.3
8792009665,1,503,527,2016-05-01,95.4
8792009665,1,415,423,2016-05-02,98.1
8792009665,1,516,545,2016-05-03,94.7
8792009665,1,439,463,2016-05-04,94.8
